Coin,Horizon,Naive_RMSE,Naive_MAE,ARIMA_Order,ARIMA_RMSE,ARIMA_MAE,RF_RMSE,RF_MAE,XGB_RMSE,XGB_MAE
LTC,Close_t+30,13.939998043221651,9.961892081318512,"(1, 1, 1)",30.179993208487467,25.967532028653245,23.764981718677998,19.517977571301284,27.657252846463624,22.088431358459324
LTC,Close_t+7,7.808647033374444,5.427480996135261,"(1, 1, 1)",28.53105609476096,24.45226426426101,10.470816582972072,7.458038497923362,10.917685234062782,7.879937749858767
LTC,Close_t+90,22.62321426826133,17.793064721092808,"(1, 1, 1)",33.92406864449752,29.57046709841069,20.43950524836084,16.138005454282297,20.8423187919805,16.27792204420931
MATIC,Close_t+1,0.0316845097189583,0.0223938873717073,"(2, 1, 2)",0.2764617111986746,0.2299949651952061,0.0401227664332595,0.0295208648699694,0.0354920959045549,0.0261838896731033
MATIC,Close_t+30,0.1604698068360777,0.1189854406853658,"(2, 1, 2)",0.2916998241584863,0.2516270971857812,0.3310461635662348,0.2652522185637893,0.3458264485509318,0.2640409132600658
MATIC,Close_t+7,0.0803626246637307,0.0600271238097561,"(2, 1, 2)",0.2797006205623051,0.2344884544269014,0.1159643278344477,0.094457304716072,0.1076162588771299,0.0879128528647352
MATIC,Close_t+90,0.2390508486519846,0.20159621748,"(2, 1, 2)",0.3559101583117788,0.3214808428341066,0.3841594838306489,0.3432714107400234,0.3820333304087798,0.3355821292075533
NEAR,Close_t+1,0.3578393368608855,0.2567775540762376,"(2, 1, 2)",2.0270757178063747,1.6287826916890535,0.4071364179380394,0.2906041147113764,0.3695716437040096,0.2639629068652742
NEAR,Close_t+30,1.5236831644521536,1.2117557484412542,"(2, 1, 2)",1.9011729816592964,1.5282301055621512,2.843482373801184,2.226644313572545,2.345828367606667,1.8925509903470443
NEAR,Close_t+7,0.915406307667312,0.7202790160122112,"(2, 1, 2)",2.0320142768925837,1.644024887624151,1.3036453108773454,0.9621891146944902,1.2627447258272595,0.9264997973425544
NEAR,Close_t+90,2.250184899187736,1.824427646110561,"(2, 1, 2)",1.4572161649304376,1.158891125643874,4.936537662695648,3.4941276194628728,5.110374355459456,3.7690758874658536
SHIB,Close_t+1,1.4384600924621555e-06,8.47319458144654e-07,"(1, 0, 0)",1.1552196542965377e-05,9.749212521820222e-06,1.6030560727104206e-06,1.103387457876281e-06,1.106790783358376e-05,9.390490172708278e-06
SHIB,Close_t+30,6.704503809975374e-06,4.852200708113208e-06,"(1, 0, 0)",1.1397101949593442e-05,1.0046990424127931e-05,8.580651906759554e-06,6.360859817485916e-06,1.046246937816377e-05,9.124420394623068e-06
SHIB,Close_t+7,4.158482754184179e-06,2.4983739466037734e-06,"(1, 0, 0)",1.1672995134401048e-05,9.969161571025402e-06,6.683991425348623e-06,4.451130902066917e-06,1.1114483054658537e-05,9.507013779684564e-06
SHIB,Close_t+90,9.788666346093665e-06,8.468105955974842e-06,"(1, 0, 0)",9.300174365011208e-06,7.906362125826045e-06,8.6700364615085e-06,7.272228545794623e-06,7.478817648867736e-06,5.811994746760646e-06
SOL,Close_t+1,6.898959061198197,5.168736442481763,"(0, 1, 1)",74.87043536332018,66.11523033066358,7.953215939284401,6.18866857162011,9.633567859208632,7.60511268527687
SOL,Close_t+30,39.42897909164441,32.95933573035294,"(0, 1, 1)",82.83435773995687,75.38853523302498,56.49937856910272,49.4822840893025,57.336088210199925,49.466176684299214
SOL,Close_t+7,17.990150129667537,14.003401968046765,"(0, 1, 1)",75.98976455107643,67.75986044956116,21.91708797110753,17.494607617590727,25.305192660610224,21.129512028550263
SOL,Close_t+90,54.212914628867495,45.00518722894029,"(0, 1, 1)",85.22864029335936,77.63181480079761,73.43415023986624,62.56822147858781,74.9062571151172,64.47468768256677
TON,Close_t+1,0.243972720022455,0.1752861844833333,"(1, 1, 1)",1.224823999791519,0.9627192579358432,0.6095808190463498,0.4394494587546458,0.7567548134268948,0.5618893266466661
TON,Close_t+30,0.9227609320358566,0.77733695064125,"(1, 1, 1)",1.164018158376068,0.8635268808486916,0.8319258383434185,0.7091374532314957,1.7269015457215302,1.4934509511755405
TON,Close_t+7,0.5755533250072878,0.4581453957508333,"(1, 1, 1)",1.2239144668604134,0.9601061662520664,1.0691958852443115,0.8601727021315788,1.161723021123996,0.8867452707137393
TON,Close_t+90,1.6732547447071844,1.3561023443525,"(1, 1, 1)",1.0483666401690752,0.7798364927021638,1.9071507519113544,1.5838941530647894,1.5332691562682288,1.100527988006564
TRX,Close_t+1,0.0106351260437146,0.0025967940977272,"(1, 0, 2)",0.0922530565475249,0.0773744860081901,0.030055170255893,0.0121486904267966,0.0367360615277033,0.016773912163352
TRX,Close_t+30,0.0308815581604382,0.0173969080123106,"(1, 0, 2)",0.1033111933449344,0.086784783329573,0.0730872007110946,0.0540851917304975,0.0748657331338731,0.0548584268556652
TRX,Close_t+7,0.0192030676140208,0.0075936431829545,"(1, 0, 2)",0.0948218186086491,0.0793593118642507,0.0564658611549874,0.0359562960739065,0.0549298459183738,0.0360793498651471
TRX,Close_t+90,0.0479542821705706,0.0344773663926136,"(1, 0, 2)",0.1202384770030537,0.1041531911936067,0.1033577879429365,0.0861840723065147,0.102375132887637,0.0850215462354199
UNI,Close_t+1,0.6203739099547642,0.4004756056753247,"(1, 1, 1)",3.4388199358400025,2.347659035153678,0.7843003252363586,0.5393477124244904,0.7117796550360044,0.482351215104478
UNI,Close_t+30,3.0498620231892857,2.3152478930532467,"(1, 1, 1)",3.5954056887995978,2.453928508349434,5.033497938625555,3.4138302803853606,3.7560339966283367,2.589032531407175
UNI,Close_t+7,1.5231198869001654,1.075243142759091,"(1, 1, 1)",3.501281326800892,2.3929400081727787,2.089205672332007,1.464483818404978,1.6426459373509394,1.1602122061422468
UNI,Close_t+90,4.767356944334552,3.662751276541234,"(1, 1, 1)",3.528033183450752,2.4447071061463514,9.55760185844001,6.089194563913692,9.065388396013883,5.920938627333316
XRP,Close_t+1,0.040198992602611,0.0172586845700844,"(2, 0, 1)",0.538451740424813,0.3882887258520453,0.0711327376657444,0.0305669898086103,0.0939248346903046,0.0363809563114226
XRP,Close_t+30,0.3293711545457861,0.1383988595950543,"(2, 0, 1)",0.7103128010801607,0.4633492322543892,0.4344613331743574,0.2059657276401229,0.4420305336067744,0.2057187928214283
XRP,Close_t+7,0.1181376859380669,0.0501767464381182,"(2, 0, 1)",0.5637173459025476,0.4004600996127208,0.1994726071420104,0.1036420006102654,0.1832520187570635,0.0839671101655455
XRP,Close_t+90,0.6499654069149529,0.2905234785301568,"(2, 0, 1)",0.9511631409138216,0.615944690132692,0.7585325503626115,0.3731370685770609,0.7488740863727091,0.373189834922971
