Coin,RF_RMSE,RF_MAE,XGB_RMSE,XGB_MAE
Aave,294.9583057540928,274.3966666233014,292.9138227724193,271.7176366528381
BinanceCoin,320.32000283231673,263.1967108917822,323.1655485818175,266.3701649087636
Bitcoin,21635.181288654057,19259.161151301232,23489.164786130605,21368.395065852583
Cardano,0.5708542182436581,0.4660516170451623,0.6260339159550244,0.51549586980469
ChainLink,15.821395062160375,13.802824466881036,15.982779849849251,14.038005104438136
Cosmos,11.507148086626648,9.898365460492329,12.364461826485845,10.737311970913439
CryptocomCoin,0.025381444087169847,0.016325405805157997,0.02818248639702052,0.019124970953188998
Dogecoin,0.2387728239232604,0.16769625699088098,0.23950602343077163,0.16864593490415036
EOS,0.773881212565063,0.41104985118981013,0.7628619751464639,0.41972373731053325
Ethereum,1168.1095706362287,958.1696473430198,1199.0867452155098,1005.3137708322066
Iota,0.13887645278987445,0.09659722521031155,0.14541694177425243,0.1057719984036683
Litecoin,27.377646040260377,18.557354338933735,31.46408790654692,21.23330377831597
Monero,23.011800166839123,15.81233337276234,23.655333700363872,16.18916341133159
NEM,0.04115284276316079,0.02705785090362821,0.06781596769250081,0.0402758922502772
Polkadot,22.630121204384913,20.24168956878074,21.910118539420964,19.45454652346975
Solana,23.64184858594165,18.687908051563475,24.368498446484757,19.455494112220972
Stellar,0.03924883034776933,0.027556278865282613,0.05352461116845691,0.0378785531784437
Tether,0.0010895422060382012,0.0005953631660740003,0.001314367889990831,0.0007833510209435401
Tron,0.01150599063733862,0.008241130003929486,0.020030325878668234,0.014828616873637889
Uniswap,22.758742814907038,20.638517406755668,22.68470777994358,20.572042187388263
USDCoin,0.0011809184176636905,0.0006686746407127748,0.0015508996857781236,0.0008493284929919798
WrappedBitcoin,22005.5277436992,19692.511763324328,20143.47028037786,17583.239927971223
XRP,0.15339288778548393,0.08968519936987177,0.14914876250159959,0.08582168827114615
