Date,SNo,Name,Symbol,High,Low,Open,Close,Volume,Marketcap,Daily_Returns_%,MA_20,BB_upper,BB_lower,RSI_14,MACD,MACD_Signal,MACD_Hist,Stoch_%K,Stoch_%D,Close_t+1,Close_t+7,Close_t+30,Close_t+90
2020-10-25 23:59:59,21,Aave,AAVE,40.92850939,37.60120084,39.45502214,37.90476078,43970451.95984127,404862645.1741443,-3.9291863897557566,42.6300753045,54.21184260335855,31.048308005641456,35.32406305995657,-1.5608191313432158,-0.9848932989295534,-0.5759258324136625,22.69494554277359,29.58246499373072,36.03392191,30.65727643,66.73867871,210.36705841
2020-10-26 23:59:59,22,Aave,AAVE,39.16386433,35.07196756,37.90476254,36.03392191,50307222.85474928,384880121.63162833,-4.935630331130136,42.311691469500005,54.26407073547729,30.359312203522723,29.406672217740702,-1.750267407757704,-1.1379681206951835,-0.6122992870625206,15.445261128158656,22.28085576105568,34.87153083,29.73152358,61.80533895,264.85014401
2020-10-27 23:59:59,23,Aave,AAVE,38.86918184,34.46963521,36.0339136,34.87153083,58581307.85370107,372464564.3579749,-3.225824496437668,42.051069230500005,54.4277604082621,29.674378052737907,29.370828532207952,-1.971475831184918,-1.3046696627931305,-0.6668061683917876,10.940881498520422,16.36036272315089,32.39408292,28.04280321,63.99345248,249.74367963
2020-10-28 23:59:59,24,Aave,AAVE,35.56402236,32.00005907,34.87153639,32.39408292,60533866.82608766,346002819.346564,-7.104500006259107,41.4825502235,54.55300054700179,28.41209989999821,27.299237762133828,-2.319951485309545,-1.5077260272964137,-0.8122254580131316,1.9622089636473132,9.449450530108797,29.09833402,27.71508436,60.73871861,272.3576004
2020-10-29 23:59:59,25,Aave,AAVE,33.1554836,28.24077345,32.39408189,29.09833402,66304785.64501483,310800760.62242234,-10.173922528194856,40.596579717,54.5187682348775,26.67439119912251,30.198673170746147,-2.829444272041848,-1.7720696762455002,-1.0573745957963472,5.474038876583453,6.12570977958373,31.21782294,30.95562668,63.94728703,282.44377082
2020-10-30 23:59:59,26,Aave,AAVE,31.98077334,27.79246068,29.09834147,31.21782294,77280723.5890018,350090548.37008536,7.283884082653058,39.7007849805,53.61563295636656,25.785937004633453,38.26562809549432,-3.027299113931349,-2.02311556378267,-1.0041835501486789,22.41008733174574,9.948778390658836,29.70751775,38.45744081,68.85312443,297.41404299
2020-10-31 23:59:59,27,Aave,AAVE,32.90016101,29.61025941,31.21782294,29.70751775,58631071.60696922,333516029.29639417,-4.837958088566186,38.7031245815,52.47164448958243,24.934604673417567,33.30147514386806,-3.2682946420905736,-2.272151379444251,-0.9961432626463224,12.979746032545892,13.62129074695836,30.65727643,44.60489962,76.41953515,286.89914533
2020-11-01 23:59:59,28,Aave,AAVE,31.0670602,28.49448212,29.70751776,30.65727643,49568339.15865809,345465544.0019291,3.197031431547326,37.624053792,50.262373741865424,24.98573384213457,35.6848953410764,-3.3440990541573044,-2.486540914386862,-0.8575581397704424,19.416957044020343,18.268930136103997,29.73152358,53.74937894,74.86836458,313.08732974
2020-11-02 23:59:59,29,Aave,AAVE,33.92358529,29.34464956,30.65728227,29.73152358,87180146.47242028,335349717.5105502,-3.019683930872908,36.5544141315,47.94098262760114,25.16784563539885,40.009086039563975,-3.4392298145610667,-2.677078694421703,-0.7621511201393636,13.14245114540212,15.17971807398945,28.04280321,54.88649964,86.32324982,300.06256418
2020-11-03 23:59:59,30,Aave,AAVE,30.06291681,27.53711073,29.73152554,28.04280321,56775011.59564292,316455541.5979732,-5.67989852742018,35.390728396499995,45.05129117587708,25.730165617122907,42.93724360421516,-3.609281695509189,-2.8635192946392007,-0.7457624008699884,3.369139263952037,11.976182484458166,27.71508436,67.00111098,91.67564477,295.66131353
