Date,ticker,Open,High,Low,Close,Volume,Daily_Returns_%
2020-08-03,SHIB,4.9946e-10,5.1452e-10,1.4275e-10,1.452e-10,129225.2,-71.52550350048045
2020-08-04,SHIB,1.452e-10,2.0291e-10,1.3814e-10,1.6165e-10,19717.14,11.329201101928387
2020-08-05,SHIB,1.6147e-10,3.3012e-10,1.4663e-10,3.0939e-10,26868.84,91.39498917414166
2020-08-06,SHIB,3.0939e-10,3.1146e-10,2.298e-10,2.3289e-10,8707.73,-24.72607388732667
2020-08-07,SHIB,2.3293e-10,3.2718e-10,2.2259e-10,2.299e-10,17528.59,-1.2838679204774772
2020-08-08,SHIB,2.3077e-10,2.6229e-10,2.2996e-10,2.6128e-10,13773.16,13.649412788168757
2020-08-09,SHIB,2.6194e-10,2.7622e-10,2.3324e-10,2.3709e-10,5189.79,-9.25826699326393
2020-08-10,SHIB,2.3709e-10,2.3963e-10,1.712e-10,1.8897e-10,6104.99,-20.29609009236999
2020-08-11,SHIB,1.8894e-10,1.9498e-10,1.6543e-10,1.7286e-10,2895.76,-8.52516272424193
2020-08-12,SHIB,1.7314e-10,1.7736e-10,1.5022e-10,1.503e-10,1868.43,-13.05102395001737
2020-08-13,SHIB,1.5034e-10,1.6206e-10,1.3713e-10,1.5704e-10,1723.28,4.484364604125091
2020-08-14,SHIB,1.5705e-10,1.8785e-10,1.5186e-10,1.83e-10,3567.15,16.530820173204262
2020-08-15,SHIB,1.8322e-10,1.8667e-10,1.6823e-10,1.6914e-10,1478.99,-7.573770491803278
2020-08-16,SHIB,1.6927e-10,1.7415e-10,1.651e-10,1.7095e-10,505.61,1.0701194276930392
2020-08-17,SHIB,1.7095e-10,1.7106e-10,1.5962e-10,1.6305e-10,542.72,-4.621234279028952
2020-08-18,SHIB,1.6318e-10,1.654e-10,1.5644e-10,1.5909e-10,153.46,-2.428702851885922
2020-08-19,SHIB,1.5942e-10,1.7769e-10,1.4105e-10,1.7569e-10,3410.68,10.434345339116224
2020-08-20,SHIB,1.7569e-10,2.0225e-10,1.7149e-10,1.9978e-10,2057.71,13.711651203824937
2020-08-21,SHIB,1.9977e-10,2.036e-10,1.1691e-10,1.1736e-10,4893.74,-41.25538091901092
2020-08-22,SHIB,1.174e-10,1.2311e-10,9.162e-11,1.1657e-10,8019.49,-0.6731424676210018
2020-08-23,SHIB,1.1657e-10,1.1681e-10,1.08e-10,1.1251e-10,762.84,-3.48288581967916
2020-08-24,SHIB,1.1248e-10,1.1778e-10,1.1139e-10,1.1698e-10,31.91,3.972980179539598
2020-08-25,SHIB,1.17e-10,1.2019e-10,1.0566e-10,1.0841e-10,377.22,-7.326038639083599
2020-08-26,SHIB,1.0841e-10,1.0943e-10,9.999e-11,1.0147e-10,595.02,-6.401623466469886
2020-08-27,SHIB,1.0137e-10,1.025e-10,8.165e-11,8.292e-11,2403.63,-18.281265398639988
2020-08-28,SHIB,8.287e-11,1.2223e-10,8.275e-11,1.2223e-10,7425.53,47.407139411480955
2020-08-29,SHIB,1.2222e-10,1.375e-10,1.072e-10,1.3675e-10,4190.92,11.879244048106031
2020-08-30,SHIB,1.0137e-10,1.025e-10,8.165e-11,8.292e-11,0.0,-39.36380255941499
2020-08-31,SHIB,1.2222e-10,1.375e-10,1.072e-10,1.3675e-10,0.0,64.91799324650265
2020-09-01,SHIB,1.0137e-10,1.025e-10,8.165e-11,8.292e-11,0.0,-39.36380255941499
2020-09-02,SHIB,2.8e-10,4.7985e-10,2.7341e-10,4.7019e-10,61768.69,467.0405209840811
2020-09-03,SHIB,4.7251e-10,6.3249e-10,3.1832e-10,5.3916e-10,70619.06,14.668538250494478
2020-09-04,SHIB,5.4085e-10,6.8391e-10,3.3974e-10,3.7541e-10,36623.47,-30.371318347058395
2020-09-05,SHIB,3.7555e-10,3.9129e-10,1.5013e-10,1.5591e-10,12080.28,-58.46940678191843
2020-09-06,SHIB,1.5573e-10,2.0227e-10,1.0117e-10,1.4283e-10,15529.29,-8.389455455070227
2020-09-07,SHIB,1.4283e-10,1.4387e-10,9.915e-11,1.2385e-10,5672.8,-13.288524819715764
2020-09-08,SHIB,1.2386e-10,1.5407e-10,1.2065e-10,1.3347e-10,4343.36,7.767460637868395
2020-09-09,SHIB,1.3353e-10,1.356e-10,1.0335e-10,1.0364e-10,2992.88,-22.349591668539748
2020-09-10,SHIB,1.0364e-10,1.1892e-10,1.0342e-10,1.1554e-10,655.62,11.48205326128906
2020-09-11,SHIB,1.156e-10,1.1649e-10,1.1223e-10,1.1618e-10,78.95,0.5539207200969454
2020-09-12,SHIB,1.1616e-10,1.1747e-10,1.087e-10,1.1078e-10,727.9,-4.6479600619728
2020-09-13,SHIB,1.1079e-10,1.1385e-10,1.0552e-10,1.0967e-10,697.46,-1.0019859180357527
2020-09-14,SHIB,1.0981e-10,1.1037e-10,1.0036e-10,1.01e-10,882.95,-7.9055347861767045
2020-09-15,SHIB,1.01e-10,1.051e-10,9.923e-11,1.0225e-10,429.1,1.2376237623762387
2020-09-16,SHIB,1.0221e-10,1.0221e-10,9.915e-11,1.0061e-10,100.9,-1.603911980440087
2020-09-17,SHIB,1.0057e-10,1.2295e-10,1.0022e-10,1.2217e-10,1300.76,21.429281383560284
2020-09-18,SHIB,1.2199e-10,1.4874e-10,1.0823e-10,1.1944e-10,289.57,-2.2345911434885846
2020-09-19,SHIB,1.1944e-10,1.7005e-10,1.1944e-10,1.6823e-10,3568.05,40.84896182183522
2020-09-20,SHIB,1.6842e-10,1.6842e-10,1.275e-10,1.3316e-10,2795.87,-20.846460203293105
2020-09-21,SHIB,1.3316e-10,1.4713e-10,1.22e-10,1.2284e-10,1880.67,-7.750075097626907
