Coin,Horizon,RF_RMSE,RF_MAE,XGB_RMSE,XGB_MAE
ADA,Close_t+1,0.025444753995786776,0.016708310094061662,0.028274595021768767,0.018720568149601078
ADA,Close_t+7,0.07031748421283122,0.04861080500482607,0.07617300211233834,0.05235268068683578
ADA,Close_t+30,0.1991594860779467,0.12766249489544948,0.20398132583349607,0.12560202894021688
ADA,Close_t+90,0.32428431469280306,0.21775590197771807,0.31620582098038247,0.2090108478410783
AVAX,Close_t+1,2.3378967516460483,1.6264713209049018,2.6335154887922725,1.8405750860276284
AVAX,Close_t+7,6.405295793927239,4.671013826474561,6.5165866481376,4.87037132353231
AVAX,Close_t+30,13.767214181047427,10.29799457592807,13.147629601027777,9.960141073521696
AVAX,Close_t+90,25.241951646856464,22.064108412156106,26.56810960383826,21.47407017226044
BCH,Close_t+1,19.51829463576551,12.755352604395375,19.133087171697603,12.33078636082035
BCH,Close_t+7,49.220720808953324,35.09850031083621,49.544625608253845,32.60281622094799
BCH,Close_t+30,101.69452228204469,73.49025807628067,86.24712126456816,60.78577872645032
BCH,Close_t+90,262.5593337642843,180.40487736987464,243.64350572114643,163.85538417029474
BNB,Close_t+1,28.021810762617502,17.768952219650597,36.48362710015827,23.102802016531605
BNB,Close_t+7,96.99365466377206,60.002879733102326,65.98999231968324,46.16831843786258
BNB,Close_t+30,121.5360729952276,100.7396362553304,116.61600147962676,98.34033210584202
BNB,Close_t+90,199.94028557162557,174.5667182853965,198.96394187983597,174.26212785317713
BTC,Close_t+1,7386.967207285097,3532.1420891666608,7557.049216118768,3700.352237918135
BTC,Close_t+7,11818.634941181754,8935.650944628254,10770.625642063154,7778.203815547376
BTC,Close_t+30,18585.162593597044,15604.170734152152,19051.825121235375,15744.287903344717
BTC,Close_t+90,31147.44494273323,28158.079955025998,31081.836708014667,28051.561308205346
DOGE,Close_t+1,0.017629116001612592,0.00851876793725906,0.016633134122092778,0.009729667161410206
DOGE,Close_t+7,0.04151861834487534,0.02500281848303283,0.03578510281683542,0.02185903224857687
DOGE,Close_t+30,0.08043206884587964,0.048503205051417836,0.07616147035314977,0.04425196696887062
DOGE,Close_t+90,0.10677544915631593,0.0613222437482072,0.10692216322478912,0.061792588187138
DOT,Close_t+1,0.37143747960053286,0.25783456179175607,0.48443321385234606,0.28640120847920725
DOT,Close_t+7,1.6430766053328245,1.0098091489769196,1.4937481386677463,0.980483583284913
DOT,Close_t+30,4.340223461421734,2.248620079118499,4.170167592562741,2.2697709442221132
DOT,Close_t+90,9.316323769330486,5.37404925175416,8.662279917966258,4.916106631530931
ETH,Close_t+1,114.69548778425057,74.89258070343018,109.37782127115823,78.30891102051658
ETH,Close_t+7,267.9336166777851,196.37149687204644,298.82987997013663,217.89194583586757
ETH,Close_t+30,598.9149368280035,502.43059895682023,535.1332996060386,431.78220640508727
ETH,Close_t+90,777.8283688464069,610.7378044812415,701.9962379880618,570.3785905089967
LEO,Close_t+1,0.961773875051352,0.38225759713021695,0.9951477641967191,0.42134816581277135
LEO,Close_t+7,1.1446830897981914,0.5857570634774835,1.1437610208690072,0.5982404720525176
LEO,Close_t+30,1.6447585935955824,1.1875799279963357,1.6438621619103715,1.2139904059065434
LEO,Close_t+90,2.5860723326508888,2.0626288550709293,2.6995241691844614,2.206843358473458
LINK,Close_t+1,0.7900600864247742,0.5391894876176441,0.9181693510850608,0.6368923773606275
LINK,Close_t+7,2.2841730133692746,1.6718232289567598,2.0114151242675313,1.4542987000037848
LINK,Close_t+30,4.565078846231141,3.4215567592786593,4.521554076369056,3.4809581007619723
LINK,Close_t+90,8.328159420053098,6.7712596857603655,7.0587454293364775,5.594557422034331
LTC,Close_t+1,3.513632122895073,2.344424657361907,3.9803403960294395,2.9610064783548036
LTC,Close_t+7,10.470816582972073,7.458038497923362,10.917685234062782,7.879937749858767
LTC,Close_t+30,23.764981718677994,19.517977571301284,27.657252846463624,22.088431358459324
LTC,Close_t+90,20.439505248360838,16.138005454282297,20.8423187919805,16.27792204420931
MATIC,Close_t+1,0.040122766433259516,0.029520864869969417,0.03549209590455492,0.026183889673103398
MATIC,Close_t+7,0.11596432783444773,0.09445730471607208,0.10761625887712997,0.08791285286473526
MATIC,Close_t+30,0.33104616356623484,0.2652522185637893,0.34582644855093186,0.2640409132600658
MATIC,Close_t+90,0.38415948383064896,0.3432714107400234,0.38203333040877985,0.3355821292075533
NEAR,Close_t+1,0.4071364179380394,0.2906041147113764,0.36957164370400963,0.26396290686527424
NEAR,Close_t+7,1.3036453108773454,0.9621891146944902,1.2627447258272595,0.9264997973425544
NEAR,Close_t+30,2.843482373801184,2.226644313572545,2.345828367606667,1.8925509903470445
NEAR,Close_t+90,4.936537662695648,3.4941276194628728,5.110374355459456,3.7690758874658536
SHIB,Close_t+1,1.6030560727104206e-06,1.103387457876281e-06,1.106790783358376e-05,9.390490172708278e-06
SHIB,Close_t+7,6.683991425348623e-06,4.451130902066917e-06,1.1114483054658535e-05,9.507013779684563e-06
SHIB,Close_t+30,8.580651906759554e-06,6.3608598174859155e-06,1.046246937816377e-05,9.124420394623067e-06
SHIB,Close_t+90,8.6700364615085e-06,7.272228545794623e-06,7.478817648867736e-06,5.811994746760646e-06
SOL,Close_t+1,7.953215939284401,6.18866857162011,9.633567859208632,7.60511268527687
SOL,Close_t+7,21.91708797110753,17.494607617590727,25.305192660610224,21.129512028550266
SOL,Close_t+30,56.499378569102724,49.4822840893025,57.336088210199925,49.466176684299214
SOL,Close_t+90,73.43415023986624,62.56822147858781,74.9062571151172,64.47468768256677
TON,Close_t+1,0.6095808190463498,0.43944945875464586,0.7567548134268948,0.5618893266466661
