Coin,Naive_RMSE,Naive_MAE,ARIMA_Order,ARIMA_RMSE,ARIMA_MAE
Aave,32.6612695734606,22.63127531211111,"(2, 1, 2)",283.59435585290043,261.7142826597134
BinanceCoin,30.701274552834384,19.40047715366667,"(0, 1, 0)",319.6526001382442,262.40866976077774
Bitcoin,2129.3806324511916,1594.858475176556,"(0, 2, 1)",13469.552720444684,11518.524370118828
Cardano,0.09980826064659835,0.06559964705555556,"(1, 1, 2)",1.0595355850973718,0.9493755623272245
ChainLink,2.588692839382672,1.8705872947222222,"(2, 1, 2)",19.278092047119692,17.481207632509427
Cosmos,1.5372384663951866,1.0869659500000002,"(0, 1, 1)",11.779031986141948,10.129785123414162
CryptocomCoin,0.012470770579186646,0.007875191611111112,"(1, 0, 0)",0.09509324944827133,0.07849465213725727
Dogecoin,0.035929090610688615,0.01876533172222222,"(1, 0, 1)",0.2446982379679007,0.17511166452013643
EOS,0.7346112586114125,0.3788691248333333,"(2, 1, 2)",3.2378615588693296,2.4733174167987357
Ethereum,154.62199368718944,104.09735792205556,"(1, 2, 2)",1472.0868121499216,1308.4967153634611
Iota,0.1238914045028453,0.08311981833333333,"(2, 1, 2)",1.1064014518771923,0.9463912552526633
Litecoin,16.232431849144646,10.486742685555557,"(2, 1, 2)",95.32570866114185,76.42840130064083
Monero,20.945292605235565,13.357133933666665,"(2, 1, 2)",127.32119874528452,99.35210569624968
NEM,0.03516775355209971,0.021350287333333332,"(2, 1, 1)",0.19022958054235267,0.13870849725089424
Polkadot,2.403392711044461,1.6494142253333333,"(2, 1, 2)",21.3243037778519,18.788352309990483
Solana,2.8761004136158346,1.6433246306111111,"(2, 1, 2)",25.77917933159047,21.148057360385316
Stellar,0.035790406752034896,0.02368180022222222,"(2, 1, 2)",0.3096064606410718,0.2860739137421785
Tether,0.001362949425778133,0.0006800308888889001,"(1, 0, 1)",0.001172565099063882,0.0008050262085547852
Tron,0.007334021847216537,0.004564852277777778,"(2, 0, 2)",0.059164888143382346,0.04647798592384401
Uniswap,2.157336111981711,1.4651607428888889,"(0, 1, 0)",22.017267093306927,19.80505165161111
USDCoin,0.0012402291139742808,0.00051309194444444,"(1, 0, 2)",0.003695624354591403,0.003566470453718321
WrappedBitcoin,2134.0896188722313,1591.0192804532223,"(1, 2, 1)",18675.72765663693,12997.874884212706
XRP,0.09124658430328744,0.054225637722222234,"(2, 0, 1)",0.7143919044559282,0.5721535461491635
