Date,ticker,Open,High,Low,Close,Volume,Daily_Returns_%,MA_20,BB_upper,BB_lower,RSI_14,MACD,MACD_Signal,MACD_Hist,Stoch_%K,Stoch_%D
2020-08-22,SHIB,1.174e-10,1.2311e-10,9.162e-11,1.1657e-10,8019.49,-0.6731424676210018,1.8506e-10,2.8104415987739034e-10,8.907584012260965e-11,0.5260540142748198,-6.005882746094115e-12,2.197785561206752e-12,-8.203668307300867e-12,2.1061961843660297,2.469832354091249
2020-08-23,SHIB,1.1657e-10,1.1681e-10,1.08e-10,1.1251e-10,762.84,-3.48288581967916,1.8342550000000002e-10,2.833020618098029e-10,8.354893819019712e-11,0.5267958343899721,-9.469410515053627e-12,-1.3565365404532378e-13,-9.333756861008303e-12,1.8196705603609717,1.3215609790391012
2020-08-24,SHIB,1.1248e-10,1.1778e-10,1.1139e-10,1.1698e-10,31.91,3.972980179539598,1.8119200000000001e-10,2.8503790580075344e-10,7.734609419924658e-11,0.5598211832625566,-1.1718505940705047e-11,-2.452224111377269e-12,-9.266281829327779e-12,2.2806165578517588,2.0688277675262534
2020-08-25,SHIB,1.17e-10,1.2019e-10,1.0566e-10,1.0841e-10,377.22,-7.326038639083599,1.71143e-10,2.606641965725966e-10,8.162180342740337e-11,0.5601179432485992,-1.403072023783131e-11,-4.767923336668077e-12,-9.262796901163234e-12,1.509919243151855,1.8700687871215287
2020-08-26,SHIB,1.0841e-10,1.0943e-10,9.999e-11,1.0147e-10,595.02,-6.401623466469886,1.64572e-10,2.54302340019416e-10,7.4841659980584e-11,0.5607337186984722,-1.6236008131729892e-11,-7.06154029568044e-12,-9.174467836049452e-12,0.8858072986924223,1.5587810332320122
2020-08-27,SHIB,1.0137e-10,1.025e-10,8.165e-11,8.292e-11,2403.63,-18.281265398639988,1.5722299999999997e-10,2.4848771805744684e-10,6.59582819425531e-11,0.5128699196482671,-1.925854413826888e-11,-9.500941064198129e-12,-9.757603074070752e-12,0.11319577521279907,0.8363074390190254
2020-08-28,SHIB,8.287e-11,1.2223e-10,8.275e-11,1.2223e-10,7425.53,47.40713941148096,1.5027050000000002e-10,2.2839838072331028e-10,7.214261927668977e-11,0.6061828117524186,-1.827131685976503e-11,-1.125501622331151e-11,-7.016300636453519e-12,3.616916974909756,1.538640016271659
2020-08-29,SHIB,1.2222e-10,1.375e-10,1.072e-10,1.3675e-10,4190.92,11.879244048106033,1.4525350000000002e-10,2.1195883767800632e-10,7.854816232199373e-11,0.7081640495743073,-1.6131337460825928e-11,-1.2230280470814396e-11,-3.901056990011533e-12,4.911092294665537,2.8804016815960307
2020-08-30,SHIB,1.0137e-10,1.025e-10,8.165e-11,8.292e-11,0.0,-39.36380255941499,1.39951e-10,2.088485021776246e-10,7.105349782237538e-11,0.6929156566458943,-1.856501357321466e-11,-1.3497227091294448e-11,-5.067786481920213e-12,0.11319577521279907,2.8804016815960303
2020-08-31,SHIB,1.2222e-10,1.375e-10,1.072e-10,1.3675e-10,0.0,64.91799324650265,1.381455e-10,2.0528190489410542e-10,7.100909510589456e-11,1.0662896997894222,-1.5966041711716235e-11,-1.3990990015378807e-11,-1.9750516963374275e-12,4.911092294665537,3.311793454847958
