Coin,Horizon,RF_RMSE,RF_MAE,XGB_RMSE,XGB_MAE
Aave,Close_t+1,24.351425920123088,19.66518969387592,22.373613512479185,16.6558094215625
Aave,Close_t+7,35.04011944684808,30.585872962708706,28.889750068746572,23.934913939630682
Aave,Close_t+30,66.66382449609164,51.181919853997705,55.86091801226605,44.97721576358665
Aave,Close_t+90,128.76544525498466,114.76481141924111,137.70751660185348,123.41402401448863
BinanceCoin,Close_t+1,106.60579225293777,49.70704747292486,107.58761223609028,50.452684428320524
BinanceCoin,Close_t+7,131.56663562993504,63.528036039994156,131.85929834447126,63.7358308654114
BinanceCoin,Close_t+30,207.70646589891646,111.8346390475459,208.24001645345658,112.31512089589788
BinanceCoin,Close_t+90,277.22654066464435,197.11760911641366,278.6670368265653,197.6186814035738
Bitcoin,Close_t+1,13001.957267496346,5597.446778325921,13273.9045937368,5781.370764578574
Bitcoin,Close_t+7,14537.555128536034,6945.091779363227,14699.203136570084,7081.59147045105
Bitcoin,Close_t+30,18379.99295807037,10412.629797840176,18375.46524474873,10213.872660259203
Bitcoin,Close_t+90,22126.080552154515,14415.835135966914,22610.918034986757,14753.725459091962
Cardano,Close_t+1,0.18891179985332116,0.09010856898170645,0.20865649327675165,0.09901663653875314
Cardano,Close_t+7,0.27451815093920046,0.15060441481592202,0.2935038012669422,0.16228802209066154
Cardano,Close_t+30,0.5118087369524866,0.33682443537450096,0.5016372759073169,0.33441011689456046
Cardano,Close_t+90,0.9312458155578847,0.7533453602509693,0.9368394060737405,0.7603992225773257
ChainLink,Close_t+1,12.672013368061002,10.214040321637183,12.812552418988314,10.433579650441283
ChainLink,Close_t+7,13.164944275420428,10.554998818755566,13.433397295064808,10.928503459044592
ChainLink,Close_t+30,11.637569251946985,8.42727861763889,12.700511651310729,9.34432624030263
ChainLink,Close_t+90,16.71202368618258,13.57484194191009,16.924452679491395,13.758833586975397
Cosmos,Close_t+1,8.429308775810526,5.73759105592659,9.148485735578749,6.269862854933965
Cosmos,Close_t+7,10.096008729627691,7.35942425523428,10.134128756660607,7.376383849952019
Cosmos,Close_t+30,12.835585047559317,10.59991396868876,12.721579514375453,10.451492323303546
Cosmos,Close_t+90,12.882526247526954,11.855010711656528,13.051288310513174,12.061442785746541
CryptocomCoin,Close_t+1,0.021718167293045345,0.01257440944112781,0.02394482119369151,0.013160714144353117
CryptocomCoin,Close_t+7,0.03075265110036415,0.020406970611219113,0.032468703391084146,0.021905463446161906
CryptocomCoin,Close_t+30,0.055447355020644205,0.04003807392545267,0.05408824863304948,0.039778863337826584
CryptocomCoin,Close_t+90,0.0964231112380163,0.07453540290335028,0.10215556762356899,0.08232305383920177
Dogecoin,Close_t+1,0.01627888499523506,0.005962478080797775,0.016459904111994744,0.006037583126008431
Dogecoin,Close_t+7,0.019345459208890022,0.007482252290535584,0.019394973262088923,0.007517451322056119
Dogecoin,Close_t+30,0.08231629474966855,0.02374429172182168,0.08225029605971287,0.023767348253050734
Dogecoin,Close_t+90,0.14460069422068492,0.06252589786988565,0.14453156193826333,0.06253684220555919
EOS,Close_t+1,0.24168577967703583,0.17548142503265537,0.23955641586648121,0.1535895103540446
EOS,Close_t+7,0.606878399606987,0.3722968693565808,0.629301717965226,0.4099568405857652
EOS,Close_t+30,1.4453257763297869,0.9839433530061532,1.5134141235436078,1.0394599216185527
EOS,Close_t+90,2.2193021828527693,1.6226917649740435,2.1887364575561583,1.5588014711623495
Ethereum,Close_t+1,267.48573224732047,123.93236915399457,288.72160634070264,130.94474526450648
Ethereum,Close_t+7,378.6947663981055,190.67637510946244,402.08153131741614,214.14762165228709
Ethereum,Close_t+30,664.2372734791854,386.25271708089304,672.880017006155,394.40704026853024
Ethereum,Close_t+90,1130.6030278876892,770.3365365753748,1118.3466524241787,773.3898953708793
Iota,Close_t+1,0.062000427630856704,0.03448036974103194,0.08407732470438711,0.04151241903789604
Iota,Close_t+7,0.45199698385622666,0.1524742151149172,0.5728550697183296,0.19206968484502285
Iota,Close_t+30,0.47383803993634865,0.2641151042367759,0.5340883934914677,0.2948029769436048
Iota,Close_t+90,0.7885880058041703,0.5046925434667,0.7900331881576169,0.4997060389379817
Litecoin,Close_t+1,8.952784214788421,4.241014446005804,9.609658197991445,4.872411071610257
Litecoin,Close_t+7,25.51595079133442,13.237440449507456,27.268880420256362,14.67243917084229
Litecoin,Close_t+30,55.648395420952674,35.50243647502782,61.82614725992804,39.61492836547312
Litecoin,Close_t+90,75.9066681821131,56.549106824270794,83.17111449053307,59.9090267243969
Monero,Close_t+1,7.623202915478331,4.557034441177944,7.858395714596626,4.851195731248267
Monero,Close_t+7,19.819615479738214,12.081347848771689,20.80914319396505,13.129869428160351
Monero,Close_t+30,64.68162861338483,38.810809689707554,76.05107878599945,44.33283883872351
Monero,Close_t+90,98.1461087296791,64.01065450327717,100.35191116079514,68.62398776105051
NEM,Close_t+1,0.028031386836981167,0.01315870019499897,0.03775014416724885,0.01508139670165479
NEM,Close_t+7,0.09992441870595707,0.04025385991691742,0.13288654403576042,0.04879183285614134
NEM,Close_t+30,0.14587704159526368,0.07762904836289705,0.1629990251977901,0.08414233261979313
NEM,Close_t+90,0.20434872503973361,0.11932898697848512,0.19072847275041133,0.11200990568021497
Polkadot,Close_t+1,7.478529934795586,6.211046898097472,5.421281392775124,4.526924379673201
Polkadot,Close_t+7,8.380749810254098,5.741456650961923,4.19354792688132,3.294271180837519
Polkadot,Close_t+30,8.208984826794362,6.99068369152759,6.904775288372742,5.745998926361606
