Date,SNo,Name,Symbol,High,Low,Open,Close,Volume,Marketcap,Daily_Returns_%,MA_20,BB_upper,BB_lower,RSI_14,Close_t+1,Close_t+7
2013-05-19 23:59:59,21,Bitcoin,BTC,124.5,119.5709991455078,123.21099853515624,121.98999786376952,0.0,1363204702.75,-1.2210750145331462,115.79010009765624,131.82346446439502,99.75673573091748,58.2011324710373,122.0,133.47999572753906
2013-05-20 23:59:59,22,Bitcoin,BTC,123.62100219726562,120.12000274658205,122.5,122.0,0.0,1363709900.0,0.0081991445246565,114.94010009765626,127.13578591531284,102.74441427999966,64.4914423532845,122.87999725341795,129.7449951171875
2013-05-21 23:59:59,23,Bitcoin,BTC,123.0,121.20999908447266,122.0199966430664,122.87999725341795,0.0,1374013440.0,0.721309224113087,115.23460006713869,127.91359517945573,102.55560495482165,66.96076257531772,123.88899993896484,129.0
2013-05-22 23:59:59,24,Bitcoin,BTC,124.0009994506836,122.0,122.88999938964844,123.88899993896484,0.0,1385778992.85,0.8211285059406492,116.16855010986328,128.4850440971527,103.85205612257386,65.8859284911552,126.6999969482422,132.3000030517578
2013-05-23 23:59:59,25,Bitcoin,BTC,126.93399810791016,123.0999984741211,123.8000030517578,126.6999969482422,0.0,1417769832.5,2.268964162001641,117.6160499572754,127.35278866184274,107.87931125270804,70.38888041326359,133.1999969482422,128.7989959716797
2013-05-24 23:59:59,26,Bitcoin,BTC,133.85000610351562,125.71900177001952,126.3000030517578,133.1999969482422,0.0,1491070770.0,5.130229010704146,118.6510498046875,130.30916489855562,106.99293471081938,71.9925182618004,131.97999572753906,129.0
2013-05-25 23:59:59,27,Bitcoin,BTC,133.218994140625,128.89999389648438,133.10000610351562,131.97999572753906,0.0,1477958233.0,-0.9159168533443562,119.45454940795898,132.45508023949623,106.45401857642167,73.48129290583555,133.47999572753906,129.3000030517578
2013-05-26 23:59:59,28,Bitcoin,BTC,136.0,130.61500549316406,131.98599243164062,133.47999572753906,0.0,1495293015.0,1.1365358755554222,120.51354904174804,134.47523771541125,106.55186036808485,75.04335163896698,129.7449951171875,122.29199981689452
2013-05-27 23:59:59,29,Bitcoin,BTC,135.46499633789062,124.6999969482422,133.5,129.7449951171875,0.0,1454029509.62,-2.798172557613421,121.42579879760744,135.29164554359937,107.55995205161548,65.62374049973323,129.0,122.22200012207033
2013-05-28 23:59:59,30,Bitcoin,BTC,130.5800018310547,125.5999984741211,129.77000427246094,129.0,0.0,1446189975.0,-0.5741995030441149,122.19749870300294,135.93890600854206,108.45609139746382,77.41571594059609,132.3000030517578,121.41999816894533
2013-05-29 23:59:59,31,Bitcoin,BTC,132.58999633789062,127.66200256347656,129.0,132.3000030517578,0.0,1483734577.5,2.558141900587452,123.17899894714355,136.85914420725737,109.49885368702972,77.81880940507818,128.7989959716797,121.6500015258789
2013-05-30 23:59:59,32,Bitcoin,BTC,132.25,127.0,132.25,128.7989959716797,0.0,1445053940.55,-2.646263793893089,123.75894889831542,137.35503456442004,110.1628632322108,65.95668876070695,129.0,118.0
