Date,ticker,Open,High,Low,Close,Volume,Daily_Returns_%,MA_20,BB_upper,BB_lower,RSI_14,MACD,MACD_Signal,MACD_Hist,Stoch_%K,Stoch_%D,Close_t+1,Close_t+7,Close_t+30,Close_t+90
2020-08-22,SHIB,1.174e-10,1.2311e-10,9.162e-11,1.1657e-10,8019.49,-0.6731424676210018,1.8506e-10,2.8104415987739034e-10,8.907584012260964e-11,0.5260540142748198,-6.005882746094115e-12,2.197785561206752e-12,-8.203668307300867e-12,2.1061961843660297,2.469832354091249,1.1251e-10,1.3675e-10,1.2284e-10,1.6823e-10
2020-08-23,SHIB,1.1657e-10,1.1681e-10,1.08e-10,1.1251e-10,762.84,-3.48288581967916,1.834255e-10,2.8330206180980285e-10,8.354893819019712e-11,0.5267958343899721,-9.469410515053629e-12,-1.356536540453238e-13,-9.333756861008304e-12,1.819670560360972,1.3215609790391012,1.1698e-10,8.292e-11,1.1824e-10,1.3316e-10
2020-08-24,SHIB,1.1248e-10,1.1778e-10,1.1139e-10,1.1698e-10,31.91,3.972980179539598,1.81192e-10,2.8503790580075344e-10,7.734609419924658e-11,0.5598211832625566,-1.1718505940705049e-11,-2.452224111377269e-12,-9.26628182932778e-12,2.2806165578517588,2.0688277675262534,1.0841e-10,1.3675e-10,1.1944e-10,1.6823e-10
2020-08-25,SHIB,1.17e-10,1.2019e-10,1.0566e-10,1.0841e-10,377.22,-7.326038639083599,1.71143e-10,2.6066419657259657e-10,8.162180342740337e-11,0.5601179432485992,-1.403072023783131e-11,-4.767923336668077e-12,-9.262796901163234e-12,1.509919243151855,1.870068787121529,1.0147e-10,8.292e-11,1.6823e-10,1.3316e-10
2020-08-26,SHIB,1.0841e-10,1.0943e-10,9.999e-11,1.0147e-10,595.02,-6.401623466469886,1.64572e-10,2.54302340019416e-10,7.4841659980584e-11,0.5607337186984722,-1.6236008131729892e-11,-7.0615402956804394e-12,-9.174467836049452e-12,0.8858072986924223,1.5587810332320122,8.292e-11,4.7019e-10,1.6823e-10,1.6823e-10
2020-08-27,SHIB,1.0137e-10,1.025e-10,8.165e-11,8.292e-11,2403.63,-18.281265398639988,1.5722299999999995e-10,2.4848771805744684e-10,6.59582819425531e-11,0.5128699196482671,-1.925854413826888e-11,-9.500941064198129e-12,-9.757603074070752e-12,0.113195775212799,0.8363074390190254,1.2223e-10,5.3916e-10,1.3316e-10,1.3316e-10
2020-08-28,SHIB,8.287e-11,1.2223e-10,8.275e-11,1.2223e-10,7425.53,47.40713941148096,1.5027050000000002e-10,2.2839838072331028e-10,7.214261927668977e-11,0.6061828117524186,-1.827131685976503e-11,-1.1255016223311509e-11,-7.016300636453519e-12,3.616916974909756,1.538640016271659,1.3675e-10,3.7541e-10,1.2284e-10,1.6823e-10
2020-08-29,SHIB,1.2222e-10,1.375e-10,1.072e-10,1.3675e-10,4190.92,11.879244048106033,1.4525350000000002e-10,2.1195883767800632e-10,7.854816232199373e-11,0.7081640495743073,-1.6131337460825928e-11,-1.2230280470814396e-11,-3.901056990011533e-12,4.911092294665537,2.8804016815960307,8.292e-11,1.5591e-10,1.1824e-10,1.3316e-10
2020-08-30,SHIB,1.0137e-10,1.025e-10,8.165e-11,8.292e-11,0.0,-39.36380255941499,1.39951e-10,2.0884850217762459e-10,7.105349782237538e-11,0.6929156566458943,-1.8565013573214658e-11,-1.3497227091294448e-11,-5.0677864819202125e-12,0.113195775212799,2.8804016815960303,1.3675e-10,1.4283e-10,1.3316e-10,1.6823e-10
2020-08-31,SHIB,1.2222e-10,1.375e-10,1.072e-10,1.3675e-10,0.0,64.91799324650265,1.381455e-10,2.0528190489410542e-10,7.100909510589456e-11,1.0662896997894222,-1.5966041711716235e-11,-1.3990990015378807e-11,-1.9750516963374275e-12,4.911092294665537,3.311793454847958,8.292e-11,1.2385e-10,1.6823e-10,1.3316e-10
