Coin,Horizon,Naive_RMSE,Naive_MAE,ARIMA_Order,ARIMA_RMSE,ARIMA_MAE
Aave,Close_t+1,18.265138272588175,15.09480906272727,"(1, 1, 2)",31.150572411938196,24.909463259013013
Aave,Close_t+7,37.90683738691089,32.636440561515144,"(1, 1, 2)",26.01700565277731,20.809263643461726
Aave,Close_t+30,63.201109724111525,52.020578211212126,"(1, 1, 2)",70.79267417091374,55.039269310542075
Aave,Close_t+90,110.1232633811364,101.84356357030302,"(1, 1, 2)",100.99932856827189,87.36317106915119
BinanceCoin,Close_t+1,13.630565193101381,5.007228545144944,"(2, 1, 2)",115.62262972942965,61.46315380741715
BinanceCoin,Close_t+7,40.08740136630172,16.957944141349437,"(2, 1, 2)",138.54520930888992,72.83795098471185
BinanceCoin,Close_t+30,112.77126243501785,61.253317207641956,"(2, 1, 2)",213.2501805607512,119.91667965873096
BinanceCoin,Close_t+90,227.22968442979132,143.21946414677151,"(2, 1, 2)",278.96793114550513,199.99966084143733
Bitcoin,Close_t+1,902.2445390327252,452.5764869326343,"(2, 1, 2)",15788.439847349444,8299.50496480847
Bitcoin,Close_t+7,2590.010955871171,1415.7556909054244,"(2, 1, 2)",16604.60313597501,8822.25284172806
Bitcoin,Close_t+30,5575.821150017399,3439.883972528995,"(2, 1, 2)",18916.85947857361,10568.340039937166
Bitcoin,Close_t+90,14373.216778651831,9325.73840673052,"(2, 1, 2)",21099.402741005906,13296.032340731324
Cardano,Close_t+1,0.039210565554812844,0.019160873713545454,"(1, 1, 2)",0.4814702606375721,0.2775328187737956
Cardano,Close_t+7,0.10017358716842456,0.053904253922805526,"(1, 1, 2)",0.5138912205729806,0.3048749541633028
Cardano,Close_t+30,0.26784599606375165,0.15531393302855181,"(1, 1, 2)",0.6249179720348266,0.409815405463524
Cardano,Close_t+90,0.6431713067163185,0.4950291753442984,"(1, 1, 2)",0.9379159339341803,0.7343466850087512
ChainLink,Close_t+1,1.2797454106951665,0.9154063000983528,"(2, 1, 2)",12.530808339492944,9.905608318157013
ChainLink,Close_t+7,3.047182267610792,2.277650493981255,"(2, 1, 2)",13.210098301493526,10.531778972981588
ChainLink,Close_t+30,6.325920769267424,4.8607629386542754,"(2, 1, 2)",16.22536005832059,12.787703338830294
ChainLink,Close_t+90,11.745803371856177,9.649840711119804,"(2, 1, 2)",19.287314464243174,16.55217735564241
Cosmos,Close_t+1,0.9407178604298377,0.6273501027210884,"(2, 1, 1)",10.345030449925657,7.5418205736025525
Cosmos,Close_t+7,2.7510562569590626,1.7738597878911562,"(2, 1, 1)",11.034301999091767,8.278161768341407
Cosmos,Close_t+30,5.834998372617354,4.0495548157823125,"(2, 1, 1)",13.229661562359356,10.980047415628277
Cosmos,Close_t+90,12.380022230471123,11.585608306394558,"(2, 1, 1)",14.896774093100964,14.14278425144684
CryptocomCoin,Close_t+1,0.01101356060763735,0.00572361,"(1, 0, 0)",0.0628393657606434,0.047503525701366886
CryptocomCoin,Close_t+7,0.022155589882437137,0.01456225690909091,"(1, 0, 0)",0.06784588695437303,0.052305423467665625
CryptocomCoin,Close_t+30,0.0510054195125443,0.03672628484848484,"(1, 0, 0)",0.07824858240478337,0.06423148588964755
CryptocomCoin,Close_t+90,0.10202051096951845,0.08895194830303031,"(1, 0, 0)",0.07661653513450241,0.06470785378692143
Dogecoin,Close_t+1,0.002432997902828294,0.0006496020016237548,"(2, 0, 0)",0.019920989077492283,0.008261175762667284
Dogecoin,Close_t+7,0.006584713665771287,0.001980961197938811,"(2, 0, 0)",0.021752999314489922,0.009156162082844683
Dogecoin,Close_t+30,0.0707245185031955,0.01746622621550589,"(2, 0, 0)",0.08338844115706082,0.02492771778602135
Dogecoin,Close_t+90,0.12762302438314987,0.05544858416143416,"(2, 0, 0)",0.14537599307072516,0.06340203998273997
EOS,Close_t+1,0.21597232480670508,0.1329044282936397,"(2, 1, 2)",0.9751668273723465,0.5852802157302747
EOS,Close_t+7,0.5546624000476896,0.34298074664492645,"(2, 1, 2)",1.1596430673658569,0.675738405000541
EOS,Close_t+30,1.1670409416816134,0.7669877677062132,"(2, 1, 2)",1.7611038422562564,1.017741304407546
EOS,Close_t+90,2.1968857072476946,1.4266121252744484,"(2, 1, 2)",2.602454823527645,1.680471276287831
Ethereum,Close_t+1,44.393922570783964,24.204558825731713,"(1, 1, 1)",678.1382805427627,409.51832324572587
Ethereum,Close_t+7,124.29126181158499,69.99757527070244,"(1, 1, 1)",717.8967015240243,437.55440201466035
Ethereum,Close_t+30,326.49800719805444,196.5519478358268,"(1, 1, 1)",927.7195613712022,569.4125222824264
Ethereum,Close_t+90,757.582711103438,535.313517697522,"(1, 1, 1)",1316.0915156527262,903.3339175683215
Iota,Close_t+1,0.052300084172235084,0.028350679488829092,"(2, 1, 2)",0.5330151812514827,0.29576516609057646
Iota,Close_t+7,0.14861327093187826,0.07827958366959636,"(2, 1, 2)",0.5963430290690894,0.3351297141392636
Iota,Close_t+30,0.36147189424977805,0.22745452479107275,"(2, 1, 2)",0.8007448883746137,0.4864014300744255
Iota,Close_t+90,0.7896635532928928,0.5443031260711855,"(2, 1, 2)",0.9330877545628923,0.6768535563285806
Litecoin,Close_t+1,5.132320582495771,2.9030681667026,"(2, 1, 2)",50.486170085191816,34.40165220559022
Litecoin,Close_t+7,14.595882931706452,8.816066216063085,"(2, 1, 2)",53.88096184712444,36.30652375782237
Litecoin,Close_t+30,29.76753583448765,19.869236763537955,"(2, 1, 2)",68.37504679320186,44.1772132155741
Litecoin,Close_t+90,59.27200054272791,38.755954906075566,"(2, 1, 2)",81.69097146611628,55.23357814608374
Monero,Close_t+1,6.062603178065341,3.6484673141915827,"(2, 1, 2)",78.41559958626608,55.08784217942429
Monero,Close_t+7,16.594643507123383,9.971022654689579,"(2, 1, 2)",83.43900673391613,58.154129751160276
Monero,Close_t+30,43.559524413904605,26.59626215408637,"(2, 1, 2)",110.80760642462533,73.59527996122013
Monero,Close_t+90,77.49780228237793,49.51191445509959,"(2, 1, 2)",137.5883884387227,98.37316988371495
NEM,Close_t+1,0.02113561815562302,0.008778446526759633,"(2, 1, 1)",0.18915260323979802,0.11308724022992914
NEM,Close_t+7,0.05841757594717444,0.026300789731769265,"(2, 1, 1)",0.1943789856203474,0.11826410499404061
NEM,Close_t+30,0.1135137036609569,0.05925020845557294,"(2, 1, 1)",0.20781181296801504,0.13381745588536856
NEM,Close_t+90,0.17728143934546545,0.12188388894694793,"(2, 1, 1)",0.21665072598036647,0.15375862528092668
Polkadot,Close_t+1,1.8119516542555016,1.4457995726190476,"(0, 2, 1)",7.789321735839042,6.403417743653234
Polkadot,Close_t+7,4.609610477270209,3.3672121183333337,"(0, 2, 1)",6.698130016725676,5.514310659708622
Polkadot,Close_t+30,4.814012990465893,3.7095554864285725,"(0, 2, 1)",8.68553821442536,6.868022393490837
