Coin,Horizon,RF_RMSE,RF_MAE,XGB_RMSE,XGB_MAE
ADA,Close_t+1,0.02706859433244033,0.01786128780839728,0.03146758540241731,0.019088574788687057
ADA,Close_t+7,0.0702972697509228,0.04913982247939198,0.07086114871251994,0.046195947452325546
ADA,Close_t+30,0.2045232371886319,0.12795137484759722,0.20025374800548681,0.12374510546894744
ADA,Close_t+90,0.3045658063381893,0.20262375317598483,0.33921944682429206,0.22960732028295583
AVAX,Close_t+1,2.3460377427118106,1.6406464238010356,2.3080821892006376,1.6363943415984676
AVAX,Close_t+7,6.412932401245084,4.682376106982458,7.3131064321142185,5.427715740667025
AVAX,Close_t+30,13.919306147057508,10.316915094187097,14.45830065913238,10.922286299676738
AVAX,Close_t+90,25.49683139002102,22.31292484511078,25.818170497677556,21.550172887537826
BCH,Close_t+1,19.794677674778892,12.918658581956313,22.787940362729536,13.30843910581762
BCH,Close_t+7,49.16071722025331,35.18520340223558,54.54850315533715,39.32352991088554
BCH,Close_t+30,104.317503732401,75.28073010725937,117.69441935042829,85.59466188243418
BCH,Close_t+90,226.68587323035462,156.10610179206427,253.5936878300961,166.8678553801553
BNB,Close_t+1,27.615804715583796,17.4430682454864,32.60984027279383,20.161006055422465
BNB,Close_t+7,94.57822403758908,59.07768463523288,73.12369925099021,52.28030548528531
BNB,Close_t+30,128.0599588355358,107.93458506619945,119.11626032471229,98.08227544989062
BNB,Close_t+90,199.20666206648255,173.92933039648926,197.08268102874587,168.61774569146363
BTC,Close_t+1,7281.014563882784,3460.3962899670023,7779.819318744746,4285.0468866763595
BTC,Close_t+7,11004.657415108495,8000.779020719717,11162.626111990518,8330.269739648036
BTC,Close_t+30,18395.809171644196,15429.475055457044,18964.525608951528,15759.541687236746
BTC,Close_t+90,31018.311454421248,28018.59640512452,31608.29915118754,28647.90866766048
DOGE,Close_t+1,0.01455090206861014,0.007038581916306557,0.01693096920180835,0.008376450177031768
DOGE,Close_t+7,0.042185935958235506,0.02525327591098893,0.03662699486652135,0.021021874787621922
DOGE,Close_t+30,0.08040009057465257,0.04549986283356856,0.07706609090471114,0.04232555863187416
DOGE,Close_t+90,0.10310608000930979,0.05859116104288968,0.10665481637495206,0.060648394550071136
DOT,Close_t+1,0.36270379138905984,0.2522034743045035,0.40991223949669614,0.25932197689524866
DOT,Close_t+7,1.7150063250464322,1.0369759212787304,1.8970034374286089,1.0451907626470005
DOT,Close_t+30,4.4496213254099635,2.271794634441737,3.977059216074803,2.157077626916857
DOT,Close_t+90,9.316323769330486,5.37404925175416,9.2624361293416,5.397781546051854
ETH,Close_t+1,98.74357359153318,66.66459871267784,105.93671516406913,73.05477382817071
ETH,Close_t+7,268.5699590098815,195.3775199160454,313.6452954888226,222.51360200785624
ETH,Close_t+30,619.1000900658977,519.3950144391603,641.2380535526759,544.4004065466708
ETH,Close_t+90,777.8283688464069,610.7378044812415,798.6905797357944,669.8401734473092
LEO,Close_t+1,0.9404591184910981,0.3701747990593887,0.9844202653632049,0.41846634877755406
LEO,Close_t+7,1.1405940746382566,0.5765992206747881,1.219839404960924,0.6361215861809434
LEO,Close_t+30,1.660388452003115,1.1801596804819545,1.6767787251383646,1.2495245823637358
LEO,Close_t+90,2.6815114192241993,2.1736773723198124,2.6466558346301583,2.1586259179298475
LINK,Close_t+1,0.7896857164118628,0.538133543715284,0.8198890188112173,0.5709594053484685
LINK,Close_t+7,2.139690230322015,1.5172153443062668,2.150059717234353,1.5695977403552774
LINK,Close_t+30,4.560133616114382,3.418266002942428,4.949618027447465,3.9062770316836652
LINK,Close_t+90,7.699627559250071,6.105594086316537,7.908396464346559,6.430893415917514
LTC,Close_t+1,3.500948084038092,2.339803866883294,3.68698380998272,2.438596681613511
LTC,Close_t+7,10.413303589401874,7.508225630866717,12.393021593817894,8.617466316352248
LTC,Close_t+30,23.694412804266253,19.397790405123537,30.93436636793206,24.76245476561405
LTC,Close_t+90,20.08566646862884,15.79358702014883,28.9452027383192,22.909503733079084
MATIC,Close_t+1,0.040122766433259516,0.029520864869969417,0.043964025407128585,0.03326549011100241
MATIC,Close_t+7,0.11629031912958704,0.09425255613382859,0.12916312408329145,0.10161546053879499
MATIC,Close_t+30,0.3311554903964032,0.26324296901644584,0.45969995232706246,0.3131966710609343
MATIC,Close_t+90,0.3874919795222615,0.3457841860262195,0.3744292269050416,0.33007101568824604
NEAR,Close_t+1,0.4055877493038098,0.28969954754020427,0.4227131077511567,0.2984261957739118
NEAR,Close_t+7,1.3036453108773454,0.9621891146944902,1.294895063173153,0.9543892667530413
NEAR,Close_t+30,2.699428340264225,2.112793116991261,2.6324960022520743,2.131898924241713
NEAR,Close_t+90,4.98793205961645,3.5618604864946564,5.705719865376418,4.182790262520954
SHIB,Close_t+1,1.6364586817954104e-06,1.1150741256194447e-06,1.1067673307451603e-05,9.390235651474001e-06
SHIB,Close_t+7,6.677684885017758e-06,4.5044238212108396e-06,1.1112537876839715e-05,9.504847294663829e-06
SHIB,Close_t+30,8.580651906759554e-06,6.3608598174859155e-06,1.045116532840392e-05,9.111456457143995e-06
SHIB,Close_t+90,8.681659568865616e-06,7.281913803884495e-06,7.4641397017844755e-06,5.795383023743135e-06
SOL,Close_t+1,7.953215939284401,6.18866857162011,9.27978962379246,7.312014427362564
SOL,Close_t+7,22.298027883960714,17.915184608841145,28.06352138955693,23.123599730830048
SOL,Close_t+30,56.499378569102724,49.4822840893025,58.27700695940293,50.08833761409445
SOL,Close_t+90,74.20282354990351,63.48294683360242,75.75746879435502,65.61458116825688
TON,Close_t+1,0.6043896309338571,0.4370803612585929,0.8049286984479906,0.6270707092481991
TON,Close_t+7,1.0791508700488386,0.8662877921807663,1.2054697517658879,0.9812548492307575
TON,Close_t+30,0.8670157528103066,0.70359114589012,0.9531825517696783,0.7559667245095786
TON,Close_t+90,1.9202830096614243,1.6011033442374758,1.5267877740739482,1.1678659855290872
TRX,Close_t+1,0.029600239222967496,0.012027473972735266,0.03939965445343213,0.018977374645592675
TRX,Close_t+7,0.056337120750457145,0.0360400349266186,0.055820744888005216,0.03321937682555308
TRX,Close_t+30,0.07308720071109465,0.054085191730497514,0.07716101402042337,0.05733380025455726
TRX,Close_t+90,0.10336220744623564,0.08622038865277429,0.10604849719741934,0.08794837827218427
UNI,Close_t+1,0.7900864457356008,0.5493968055898707,0.7420775590743448,0.5034205355139164
UNI,Close_t+7,2.1071782703423056,1.480869278431206,2.0024146924640234,1.4013597363609984
UNI,Close_t+30,4.891432356205805,3.331613231892238,5.274092042443967,3.676454939931957
UNI,Close_t+90,9.55760185844001,6.089194563913692,9.280867153371068,6.094894097982247
XRP,Close_t+1,0.07107251460527117,0.027441857028779465,0.09835194370483041,0.03291736950900372
XRP,Close_t+7,0.19120297065402853,0.08657601966206424,0.2157252622597152,0.10067254082571266
XRP,Close_t+30,0.4344613331743574,0.20596572764012291,0.46354094077120367,0.24725265379071273
XRP,Close_t+90,0.7624736995478838,0.37973793865002603,0.734519123278216,0.3666720044801207
